,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
0,150.68,107.365,-1.149,-1.423,-1.539,1.778
1,103.414,73.405,1.457,1.876,-0.779,2.256
2,134.29,120.71,-0.891,-0.781,2.897,-0.675
3,230.79,178.84,1.953,-0.097,1.911,-1.099
4,66.285,61.039,0.564,-1.149,0.564,-2.638
5,350.226,46.673,0.931,0.048,0.157,-2.212
6,75.916,74.18,-0.368,1.041,-1.048,1.943
7,97.691,75.822,0.388,1.777,0.193,-2.807
8,83.806,80.53,-0.57,2.478,1.128,-2.002
9,86.466,80.13,1.193,2.411,3.12,0.094
10,126.079,125.67,-1.366,-2.134,-3.066,0.228
11,301.09,300.405,0.145,1.067,0.073,-3.022
12,78.263,75.269,1.069,-0.339,2.55,-0.601
13,127.171,117.13,-1.823,-1.48,-0.525,2.559
14,46.022,43.997,2.193,-1.28,-2.02,1.179
15,86.181,70.481,-1.208,0.74,0.926,-2.195
16,110.737,84.982,2.113,1.118,-1.668,0.934
17,56.737,48.472,-0.052,-2.357,2.888,-0.874
18,146.83,131.64,0.334,-0.059,0.839,-2.195
19,174.921,86.606,-0.247,-1.968,2.355,0.147
20,101.535,96.873,-1.111,-0.936,-0.188,3.0
21,125.538,112.198,-0.173,-0.362,0.187,-2.923
22,101.875,95.795,1.82,1.216,-0.148,3.008
23,68.93,68.349,0.035,-1.545,2.042,-1.036
24,102.361,81.355,-2.021,-1.218,-1.753,1.547
25,199.863,189.458,-0.445,-0.567,-1.518,1.67
26,136.154,83.581,-0.397,-1.05,0.399,-2.941
27,102.705,95.63,1.525,2.483,0.729,-2.428
28,76.705,74.924,0.693,2.326,-2.132,1.002
29,98.656,82.863,0.91,0.064,-2.225,1.035
30,62.517,60.124,1.327,-1.088,-0.483,2.661
31,73.603,60.171,-1.362,0.305,-2.699,0.271
32,65.735,60.986,0.898,-1.153,-0.923,2.25
33,134.297,129.032,1.446,0.995,-2.811,0.286
34,126.146,117.597,1.638,0.398,0.944,-2.133
35,96.446,93.665,0.775,0.261,-0.326,2.668
36,71.093,53.11,0.891,-1.174,-2.143,0.779
37,121.146,83.171,1.287,0.724,0.497,-2.962
38,174.494,142.848,-2.06,-0.645,1.107,3.079
39,151.376,101.772,-0.556,-0.26,0.898,-2.449
40,93.39,87.708,-1.911,-2.11,-2.874,0.262
41,102.851,98.682,-0.122,1.425,-0.99,1.962
42,120.886,64.449,-0.557,-1.841,-3.089,-0.276
43,84.578,69.34,-0.956,0.055,-2.66,0.782
44,99.246,63.722,0.772,-1.006,2.691,-1.637
45,84.342,79.614,0.223,-0.737,1.931,-1.181
46,157.618,114.019,-0.083,-0.088,0.687,-2.73
47,176.458,164.372,-0.428,-1.199,-0.984,2.404
48,207.451,183.611,-0.975,-2.351,0.411,-2.721
49,58.204,53.04,-0.768,1.232,-1.12,1.938
50,107.359,93.871,0.175,0.001,-1.939,1.214
51,108.223,95.674,-0.534,-0.044,-2.316,1.145
52,208.157,150.762,0.475,1.083,2.418,-0.579
53,94.559,88.47,-0.475,-1.607,-2.768,0.417
54,82.728,73.168,2.259,1.216,2.924,-0.228
55,69.614,63.47,0.099,1.692,-2.593,0.613
56,104.398,98.468,-2.338,-1.538,-0.272,2.789
57,175.055,145.738,-0.868,-1.521,-2.387,0.546
