,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
0,609.893,577.403,1.112,0.144,2.464,-0.786
1,369.907,365.769,-0.933,-0.763,0.55,-2.56
2,405.628,272.856,-0.919,-1.517,-2.088,0.886
3,653.188,612.045,-0.222,-0.456,-3.046,0.095
4,354.517,334.38,-0.664,-0.471,0.518,-2.624
5,332.534,286.933,0.991,-1.248,1.997,-1.174
6,285.148,278.056,-1.113,0.473,2.467,-0.667
7,394.561,386.69,0.266,1.671,0.468,-2.751
8,312.69,260.282,-1.228,-0.147,-2.76,0.529
9,197.129,190.447,-2.346,0.638,1.46,-1.642
10,458.12,449.332,1.33,2.468,-3.084,0.009
11,579.805,566.662,-0.58,0.911,2.608,-0.505
12,495.575,375.447,-0.957,-0.903,-0.802,1.93
13,350.149,344.56,-0.362,-0.108,-3.058,0.143
14,481.844,477.133,-0.693,-0.118,2.21,-0.902
15,320.485,305.341,-1.381,-0.599,2.003,-1.094
16,340.911,339.615,-1.133,-0.205,-0.488,2.551
17,385.978,365.041,0.808,1.398,-1.751,1.547
18,311.772,276.704,1.31,-1.527,-2.75,0.399
19,248.502,226.638,-0.725,1.167,-1.264,2.267
20,287.353,222.503,-2.081,-0.438,-1.76,1.488
21,637.462,582.264,0.835,-0.209,2.262,-0.864
22,363.186,345.132,-1.9,-0.225,-1.327,1.795
23,217.152,209.461,-0.864,1.579,-2.537,0.55
24,387.46,359.204,-1.574,-0.177,-2.876,0.278
25,647.734,613.083,-0.535,-0.103,-0.13,-3.11
26,213.714,144.115,2.259,-0.742,0.904,-2.073
27,365.427,359.153,1.147,2.356,-2.451,0.683
28,344.458,296.296,-0.227,0.511,2.654,-0.305
29,320.047,272.91,-2.049,-0.57,-3.136,-0.42
30,250.426,230.277,2.4,0.189,-1.107,2.011
31,342.415,326.537,-0.521,0.138,2.431,-0.942
32,151.752,62.494,-1.514,1.977,-0.336,1.885
33,315.801,300.072,-0.838,-2.118,1.078,-2.027
34,361.354,307.602,-1.51,-1.324,-0.312,3.095
35,313.186,299.385,0.465,1.377,3.025,-0.102
36,322.997,316.062,-0.886,-2.317,0.403,-2.731
37,284.671,243.688,-2.314,-0.869,-1.71,1.567
38,211.939,207.715,1.315,-0.923,2.482,-0.655
39,253.893,235.616,0.969,-1.057,0.49,-2.651
40,202.097,197.873,-1.385,1.07,0.452,-2.83
41,350.546,333.015,-0.269,0.184,-1.533,1.781
42,284.081,223.431,-0.204,-2.229,0.51,-2.48
43,495.093,374.484,0.653,0.704,1.588,-1.361
44,394.458,378.893,-0.809,0.303,-0.689,2.454
45,182.57,106.237,-1.704,1.686,2.129,-0.495
46,347.849,315.886,-0.024,1.89,0.901,0.109
47,325.653,217.542,-1.005,0.704,-0.984,2.2
48,347.806,342.891,0.195,-1.523,2.006,-1.335
49,349.705,346.746,-0.109,-0.358,0.746,-2.452
50,264.777,253.616,-0.013,2.43,1.882,-1.236
51,415.06,326.726,0.853,1.432,0.118,-2.888
52,439.543,414.403,-0.146,-0.312,0.483,-2.592
53,418.862,413.524,-0.203,-0.062,1.984,-1.163
54,635.359,626.243,0.696,0.879,-0.68,2.449
55,300.556,298.343,-0.488,-1.473,-1.201,1.97
56,402.792,393.648,1.798,1.542,2.492,-0.669
57,344.918,284.463,0.254,-0.763,-2.634,0.647
58,366.893,342.341,1.105,1.019,-0.681,2.442
59,304.942,292.303,-0.072,-2.495,2.56,-0.587
60,278.647,273.717,-2.144,-0.29,2.106,-1.13
61,294.222,292.902,-0.232,-1.724,2.296,-0.916
62,375.665,338.384,1.614,0.112,-0.92,2.099
63,289.204,248.534,0.726,-0.592,-2.902,0.348
64,416.451,402.423,1.269,0.581,3.118,0.049
65,394.872,298.268,0.76,0.754,1.27,-2.041
66,385.129,356.507,0.278,-1.541,-2.136,0.93
67,315.998,287.056,-0.923,0.792,-2.531,0.559
68,408.164,402.655,0.611,1.603,-3.088,0.039
