,Momenta,Eta,Phi
0,"[249.956, 246.708]","[-2.292, 0.291]","[-2.268, 0.866]"
1,"[721.39, 388.842]","[1.938, 0.666]","[-0.795, 2.005]"
2,"[412.063, 393.453]","[1.829, 0.821]","[1.939, -1.226]"
3,"[474.406, 468.36]","[-1.729, -1.957]","[2.467, -0.681]"
4,"[322.457, 306.147]","[1.051, -0.751]","[3.054, -0.102]"
5,"[312.312, 310.952]","[2.493, 0.444]","[2.646, -0.513]"
6,"[529.584, 513.221]","[-1.246, -0.332]","[-1.148, 1.991]"
7,"[498.639, 486.189]","[-0.364, 0.492]","[-1.035, 1.763]"
8,"[432.836, 416.266]","[1.766, 0.703]","[0.796, -2.367]"
9,"[379.38, 373.18]","[0.219, -2.245]","[2.703, -0.441]"
10,"[466.833, 448.665]","[-1.536, -0.721]","[0.066, -3.074]"
11,"[499.492, 481.11]","[-0.356, 0.828]","[3.008, -0.467]"
12,"[240.307, 225.541]","[-1.094, 1.469]","[1.264, -1.876]"
13,"[677.813, 671.017]","[-0.439, -0.244]","[-3.057, 0.092]"
14,"[328.121, 322.581]","[1.823, -0.143]","[-0.955, 2.224]"
15,"[540.676, 499.93]","[-0.284, 0.031]","[0.799, -2.29]"
16,"[425.36, 384.739]","[-0.22, 1.009]","[-1.993, 1.081]"
17,"[294.812, 267.673]","[0.449, -1.734]","[-2.276, 0.855]"
18,"[432.844, 427.176]","[1.229, 0.39]","[1.073, -2.066]"
19,"[608.225, 351.467]","[0.014, -0.742]","[3.053, -0.734]"
20,"[460.605, 457.069]","[1.07, 1.115]","[-1.26, 2.115]"
21,"[759.476, 754.353]","[0.525, 0.143]","[2.678, -0.468]"
22,"[558.508, 557.962]","[0.053, 1.582]","[-0.713, 2.46]"
23,"[483.429, 414.143]","[-0.747, -0.373]","[0.609, -2.47]"
24,"[358.917, 335.904]","[-1.41, 0.639]","[-1.75, 1.345]"
25,"[373.934, 191.854]","[1.737, -1.087]","[2.483, 0.202]"
26,"[502.094, 446.856]","[0.922, 0.718]","[-1.698, 1.309]"
27,"[912.831, 896.998]","[-0.804, 0.463]","[1.753, -1.371]"
28,"[561.215, 496.693]","[0.312, 0.997]","[0.197, -2.993]"
29,"[462.702, 455.667]","[-0.432, -1.203]","[-0.443, 2.741]"
30,"[484.276, 421.275]","[-0.847, -1.057]","[-0.679, 2.367]"
31,"[442.78, 262.59]","[1.111, -0.761]","[-1.168, 2.147]"
32,"[239.273, 233.13]","[1.874, -0.689]","[-2.909, 0.43]"
33,"[576.871, 568.733]","[1.837, 1.151]","[0.429, -2.727]"
34,"[677.586, 663.427]","[0.567, -0.702]","[2.462, -0.739]"
35,"[516.65, 495.329]","[-0.442, -1.275]","[2.674, -0.536]"
36,"[501.859, 495.045]","[2.385, 0.69]","[1.091, -2.062]"
37,"[658.34, 625.088]","[1.697, 1.145]","[0.62, -2.599]"
38,"[219.45, 129.051]","[1.727, -2.152]","[0.824, -1.935]"
