,Momenta,Eta,Phi
0,"[224.523, 179.61]","[-0.715, -0.774]","[-1.232, 1.87]"
1,"[173.226, 114.163]","[-1.819, -0.088]","[2.402, -0.915]"
2,"[201.447, 113.795]","[-1.529, 0.129]","[1.887, -2.093]"
3,"[209.635, 188.76]","[-0.258, 0.491]","[1.436, -2.443]"
4,"[213.049, 211.077]","[0.122, -0.246]","[1.621, -1.36]"
5,"[449.052, 172.022]","[0.91, -0.181]","[1.889, -2.267]"
6,"[152.117, 115.784]","[-0.63, 1.311]","[-3.108, 0.176]"
7,"[150.087, 130.618]","[-0.593, 1.248]","[-2.093, 1.189]"
8,"[118.171, 107.501]","[1.237, -1.071]","[1.155, -1.664]"
9,"[191.537, 149.568]","[1.017, -0.253]","[2.311, -1.495]"
10,"[191.266, 188.711]","[0.269, 0.911]","[-0.135, 3.015]"
11,"[213.871, 182.951]","[-0.48, 0.381]","[2.0, -1.577]"
12,"[195.416, 176.053]","[-1.712, -1.585]","[3.089, -0.042]"
13,"[205.185, 191.167]","[-0.459, -0.986]","[0.26, 2.936]"
14,"[202.848, 138.648]","[0.099, 1.475]","[-2.516, 1.069]"
15,"[267.413, 148.214]","[-0.866, -0.648]","[0.051, -2.848]"
16,"[193.046, 190.927]","[0.284, 0.942]","[-2.016, 0.684]"
17,"[198.339, 145.483]","[-1.609, -0.448]","[-2.948, 0.004]"
18,"[200.249, 194.035]","[-0.624, -0.435]","[0.183, -2.903]"
19,"[290.303, 142.373]","[0.359, 0.89]","[1.933, -2.021]"
20,"[226.666, 195.79]","[-0.339, -0.593]","[-1.315, 1.209]"
21,"[180.806, 171.158]","[0.257, -0.783]","[-1.384, 1.787]"
22,"[91.365, 81.684]","[2.232, -0.705]","[1.616, -1.77]"
23,"[162.744, 162.372]","[0.924, 2.129]","[1.365, -1.745]"
24,"[209.939, 95.633]","[0.92, -0.831]","[0.51, -2.153]"
25,"[247.557, 246.919]","[1.387, 1.329]","[-1.169, 0.697]"
26,"[341.829, 97.536]","[0.433, 1.487]","[-2.238, 0.305]"
