,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
0,319.533,282.006,-2.066,-0.679,-0.259,3.059
1,377.386,228.621,0.242,-1.24,-0.508,2.436
2,296.915,274.324,-0.425,-2.053,-1.087,1.993
3,391.853,368.442,0.714,0.771,0.021,2.965
4,481.483,162.493,0.056,-1.719,2.772,0.19
5,387.901,247.187,-0.899,0.031,-0.982,2.024
6,273.881,248.387,2.257,0.436,-3.05,-0.376
7,387.334,340.747,0.692,1.222,-2.346,0.849
8,407.065,343.066,0.414,0.06,1.878,-1.582
9,370.522,330.593,1.853,1.17,0.797,-2.454
10,484.241,291.519,0.821,0.886,-2.934,0.033
11,390.065,346.305,1.119,0.957,-2.296,0.892
12,205.452,196.978,-1.572,0.832,-3.052,-0.175
13,103.72,87.856,2.044,-2.059,0.235,-2.968
14,349.128,327.647,-2.219,-1.259,0.971,-2.027
15,684.33,138.394,0.735,2.011,-1.139,1.933
16,418.371,309.389,0.879,1.386,2.24,-0.472
17,457.836,288.558,-0.825,-0.252,0.192,-3.125
18,458.807,263.414,-0.306,0.612,2.909,-0.362
19,426.147,326.207,-0.946,-1.18,2.244,-0.936
20,278.388,228.715,-1.027,0.999,-1.037,-2.85
21,471.39,300.965,-0.855,-0.754,2.431,-0.673
22,270.087,247.146,0.879,-0.794,0.977,-2.325
23,418.767,336.983,-1.66,-1.455,-1.052,2.491
24,431.016,318.894,-1.079,-1.367,2.327,-0.897
25,376.696,368.317,-0.007,-0.588,-1.496,1.962
26,387.478,285.032,0.548,-0.375,-0.445,2.779
27,412.758,333.929,0.272,0.777,0.333,-2.479
28,514.626,287.671,-1.242,-1.225,-0.506,-3.125
29,380.846,377.83,-0.927,-0.773,-1.195,1.454
30,162.663,116.899,1.836,0.239,0.021,-2.495
31,379.931,369.258,0.368,0.386,1.365,-1.799
32,376.296,338.449,-0.011,0.612,1.265,-2.164
33,386.053,372.251,-0.79,-1.054,-0.223,2.885
34,428.597,341.86,1.278,1.134,2.83,0.198
35,368.739,366.719,-0.08,0.246,-0.724,2.435
36,317.993,246.29,0.479,1.992,2.99,0.086
37,390.739,359.085,1.252,1.377,0.051,-3.042
38,433.357,348.062,-0.335,-0.677,-0.793,1.763
39,411.227,342.948,-0.441,-0.432,-1.932,1.2
40,384.636,335.885,0.864,1.455,-0.785,2.33
41,263.332,229.648,1.433,0.131,-2.579,0.645
42,398.583,322.145,1.238,0.578,-0.813,2.156
43,239.895,190.812,1.38,-0.812,-0.525,2.936
44,336.917,333.114,-0.848,-0.033,2.941,-0.456
45,244.578,223.132,-1.313,0.707,0.757,-2.513
46,421.591,378.867,-0.845,-0.921,-2.407,1.385
47,378.734,372.508,-0.767,-1.086,-0.349,2.791
48,378.113,360.882,0.897,0.437,-2.88,0.276
49,343.462,247.482,1.439,-0.046,-1.833,1.199
50,404.626,333.143,0.056,0.206,2.759,-0.49
51,355.4,352.761,1.404,2.164,1.178,-1.989
52,325.964,316.899,0.129,-1.03,-2.718,0.442
53,363.88,356.919,-0.509,-0.265,2.756,-0.499
54,386.018,322.389,0.899,1.216,-1.78,1.248
55,392.296,358.587,-1.75,-1.528,2.167,-0.873
56,338.656,331.587,0.338,-0.69,2.625,-0.794
57,212.088,207.858,-0.812,1.399,-0.947,2.171
58,354.551,252.507,-0.842,0.95,-1.262,0.281
59,616.685,202.824,-1.632,-0.685,-2.2,0.186
60,371.582,367.714,0.057,-0.259,1.603,-1.57
61,387.543,352.984,0.079,-0.138,0.473,-2.704
62,238.843,216.937,-0.929,1.284,-0.338,2.883
63,379.31,325.193,1.385,2.135,-2.777,0.312
64,588.169,259.743,-0.098,-0.192,0.534,-2.59
65,386.213,383.541,-0.642,-0.49,-0.426,2.586
66,375.074,340.493,-0.208,-0.14,0.919,-2.35
67,401.926,272.78,-0.419,-1.377,0.79,-2.572
68,382.605,346.869,-0.652,-0.322,2.95,-0.138
69,400.829,392.298,0.051,-0.08,-1.14,1.985
70,481.558,303.896,-0.119,-0.069,-0.123,-2.815
71,383.684,363.757,0.716,1.076,2.715,-0.612
72,434.711,300.9,0.367,0.883,-2.586,0.494
73,618.435,364.909,1.301,0.545,0.174,-1.304
74,395.693,366.186,-1.275,-1.333,-1.682,1.599
75,372.385,361.083,0.435,0.883,1.279,-1.843
76,371.738,349.324,0.48,0.105,-2.507,0.762
77,377.077,353.256,-0.253,0.211,2.569,-0.613
78,377.399,344.605,0.717,0.199,1.425,-1.689
79,360.221,348.783,-1.02,-0.293,-1.333,1.732
80,254.114,242.513,1.826,-0.078,3.047,-0.147
81,439.082,391.601,-0.426,-0.23,-2.246,0.809
82,327.059,317.239,-1.962,-0.848,0.08,-3.04
83,363.03,348.678,-0.75,0.159,-1.059,2.706
84,240.279,212.549,-0.453,1.748,-1.133,2.221
85,266.529,264.635,-0.326,1.434,1.213,-1.993
86,420.249,307.092,-0.219,0.377,2.971,-0.169
87,357.27,343.885,-0.114,-0.742,2.257,-0.826
88,485.302,242.735,-0.878,0.059,2.474,-0.466
89,388.224,306.066,-0.896,-0.097,0.757,-1.744
90,346.895,326.249,-0.19,-1.124,-2.372,0.791
91,468.636,317.212,-0.398,-0.218,-0.395,-3.04
92,208.627,206.296,-1.813,0.586,-2.775,0.384
93,322.139,113.864,0.099,1.185,0.655,-2.959
94,382.773,325.027,-1.334,-0.374,1.435,-1.037
95,353.091,343.307,-0.016,0.736,1.41,-1.898
96,238.766,236.102,-0.328,-2.371,2.679,-0.465
97,410.171,357.455,-1.04,-0.712,3.116,0.476
98,331.056,312.07,0.761,-0.457,-3.024,0.56
99,360.153,353.389,-0.782,-0.092,-0.195,2.954
100,404.382,344.48,-0.682,-0.061,1.85,-1.542
101,381.685,346.287,-1.41,-1.931,-0.183,2.789
102,286.26,273.27,-0.191,1.243,2.602,-0.486
103,1503.79,140.081,-0.816,-0.691,2.557,-1.832
104,193.545,185.771,-0.098,2.433,-1.494,1.622
105,373.575,324.173,0.4,0.997,1.303,-1.766
106,451.007,299.723,-0.623,-0.097,2.502,-0.841
107,331.474,288.985,-1.992,-0.745,2.316,-0.916
108,389.103,292.373,0.428,-1.024,1.392,-0.376
109,266.324,207.154,1.765,-0.302,1.819,-1.553
110,380.964,306.756,-2.178,-1.624,-0.348,2.841
111,380.884,353.343,0.63,1.114,2.167,-1.181
112,335.97,327.421,0.828,1.821,-2.819,0.334
113,397.837,336.131,1.514,1.041,-0.256,2.642
114,375.368,362.948,0.606,0.07,-0.983,1.728
115,251.641,201.917,-0.979,1.407,1.915,-2.475
116,383.433,370.689,1.405,1.341,0.845,-2.301
117,327.066,287.961,0.098,1.404,-0.483,2.659
118,357.143,347.151,1.623,0.929,0.255,-2.93
119,312.148,221.404,-0.286,1.526,-2.48,0.518
120,613.315,242.859,0.293,1.358,-1.283,2.994
121,306.818,278.869,-0.254,1.317,2.76,-0.318
122,406.678,392.404,0.57,0.152,1.162,-2.047
123,398.497,346.878,-0.898,-0.764,2.363,-0.472
124,383.33,363.493,-0.53,-0.763,0.953,-2.155
125,391.67,349.533,-0.781,-0.25,-2.27,0.763
126,561.772,298.551,-0.638,-0.745,2.455,-1.534
127,335.827,332.826,1.118,0.182,1.336,-1.771
128,410.615,339.812,-1.391,-1.478,0.024,2.977
129,488.408,291.427,0.702,1.08,-0.315,-3.042
130,415.984,342.305,-0.463,-0.585,0.05,3.024
131,376.583,355.267,0.18,0.655,-1.157,1.955
132,462.226,343.74,-1.227,-1.401,2.543,0.278
133,321.36,291.443,1.479,-0.083,-0.039,2.729
134,472.618,238.352,-0.37,-0.857,-2.481,0.419
135,360.053,211.064,0.511,-1.128,2.302,-0.484
136,419.586,328.849,1.276,0.805,-0.98,1.657
137,388.594,362.105,-0.07,-0.317,0.37,-2.759
138,374.929,354.594,1.156,0.82,1.284,-1.964
139,304.571,287.341,0.6,-0.817,2.738,-0.424
140,352.823,331.675,-0.642,-1.427,1.692,-1.514
141,279.374,215.725,-1.815,0.177,2.16,-1.188
142,331.69,210.229,-0.169,-1.945,-1.601,1.52
143,347.92,333.294,1.014,0.098,0.238,-2.908
144,458.572,304.305,-1.09,-1.063,-0.366,2.576
145,366.583,256.276,-0.985,0.349,-2.118,0.947
146,373.491,333.204,0.287,0.951,-1.285,1.742
147,321.843,306.092,-1.247,-0.025,-0.899,2.463
148,359.001,296.787,1.32,0.863,1.161,-2.093
149,267.317,265.133,1.27,-0.477,-0.821,2.374
150,191.139,189.974,-1.959,0.622,-1.647,1.569
151,397.315,319.938,0.246,-0.735,-1.876,2.11
152,382.436,370.476,-0.216,0.383,1.512,-1.887
153,407.288,343.659,0.112,0.508,-0.357,2.265
154,434.262,295.387,1.103,0.516,-2.44,0.466
155,384.113,353.382,0.088,-0.027,-0.634,2.47
156,478.005,264.149,-0.282,0.25,1.707,-1.102
157,383.108,366.597,0.216,0.037,-0.007,3.081
158,394.317,372.596,0.474,0.908,-1.829,1.946
159,411.76,323.838,0.533,0.117,2.005,-1.07
160,495.563,300.695,0.853,0.926,2.946,0.23
161,382.94,347.061,-0.161,-0.494,-1.829,0.913
162,350.991,348.642,-0.088,0.769,3.046,-0.176
163,457.658,362.323,0.253,-0.265,-2.165,1.982
164,368.015,326.673,0.992,1.745,1.903,-1.294
165,386.692,348.656,1.156,0.902,2.431,-0.636
166,284.434,271.474,0.846,-1.034,2.019,-1.295
167,385.817,334.632,1.512,0.995,-1.875,1.297
168,371.345,331.718,1.01,0.229,-0.073,-3.079
169,312.395,287.549,0.023,1.41,2.004,-1.159
170,378.859,340.043,1.817,2.439,-2.218,0.815
171,412.748,329.976,0.247,0.622,-2.868,0.54
172,979.666,323.386,-0.023,0.274,-3.087,-0.563
173,349.761,307.847,-0.814,-1.912,1.942,-1.213
174,341.861,332.221,-1.435,-0.712,-2.771,0.395
175,353.292,225.322,0.238,-1.357,-0.192,3.067
176,374.466,317.922,1.266,1.758,-1.465,1.681
177,361.414,319.285,-0.615,-1.48,-3.092,0.319
178,380.258,322.824,-0.981,-0.661,1.707,-1.563
179,380.64,348.697,-1.139,-1.401,1.409,-1.651
180,436.866,250.901,-0.313,0.492,-3.113,0.231
181,397.719,353.737,-0.586,-0.357,-1.209,2.292
182,408.507,321.994,0.151,-0.504,0.622,-2.749
183,492.93,358.687,-1.439,-0.361,-1.701,1.817
184,339.01,276.286,0.199,1.503,-0.514,2.373
185,380.704,366.576,0.358,0.235,2.757,-0.45
186,369.578,329.996,0.933,0.203,-1.226,1.776
187,452.036,236.665,1.343,0.19,1.973,-1.705
188,508.315,322.33,0.158,-0.488,2.532,-1.61
189,432.09,286.742,-1.594,-2.258,2.356,-1.162
190,349.744,265.752,0.527,-0.886,-1.358,1.773
191,365.35,300.043,-0.743,0.345,3.024,0.363
192,705.487,684.94,0.102,-0.477,-0.136,-1.101
193,226.858,180.998,-1.694,0.767,2.231,-0.839
194,213.924,178.453,1.16,-1.412,0.484,3.042
195,402.89,345.655,1.103,0.652,-3.088,0.633
196,449.728,317.958,-1.026,-0.453,0.877,-2.854
197,374.947,370.734,0.104,0.486,3.126,-0.012
198,238.495,222.5,-1.233,0.882,-0.707,2.275
199,498.404,202.909,-0.505,0.723,1.063,-1.621
200,421.968,290.892,-0.184,-0.133,-2.141,1.331
201,384.846,370.838,-0.722,-0.991,-1.39,1.833
202,316.384,313.379,-1.533,-0.422,-0.16,2.986
203,464.559,357.722,0.658,0.833,1.278,-2.709
204,347.482,238.741,-1.049,0.456,-1.107,1.99
205,263.485,238.505,-1.06,0.836,-1.334,1.687
206,378.405,358.6,-0.883,-0.202,2.544,-0.599
207,379.338,366.91,-0.875,-0.964,1.627,-1.5
208,379.021,329.171,-1.076,-1.708,1.022,-2.277
209,364.05,361.093,0.216,1.333,-1.769,2.338
210,357.435,353.834,-2.218,-1.554,-2.699,0.164
211,739.051,248.855,0.669,-0.766,-2.351,-1.182
212,367.125,353.137,-1.214,0.005,-3.072,0.16
213,376.666,363.222,-1.857,-1.649,-0.865,2.269
214,510.115,321.056,-0.088,-0.175,-2.127,1.81
215,362.352,274.947,0.4,-0.401,1.781,-0.957
216,275.184,250.321,1.553,-0.052,3.066,-0.203
217,348.451,297.769,0.74,-0.384,-1.539,1.796
218,362.125,359.811,-0.242,-0.783,0.586,-2.414
219,378.328,270.324,-0.684,-1.8,-0.572,2.395
220,338.441,180.764,0.503,-1.525,-3.024,-0.57
221,551.465,255.501,-0.654,-0.85,-2.894,0.002
222,383.152,315.669,-0.545,-1.32,-1.589,1.423
223,382.944,365.487,0.195,0.068,1.463,-1.574
224,303.054,288.654,-0.527,0.899,-1.305,1.863
225,347.417,347.284,0.823,0.02,2.748,-0.569
226,469.991,423.384,-1.621,-1.158,0.619,2.433
227,414.203,326.655,1.737,2.168,1.129,-2.167
228,506.229,224.046,-1.207,-0.141,1.078,-2.633
229,390.864,356.027,-1.052,-0.963,1.789,-1.436
230,387.355,263.945,-0.441,0.746,-1.097,1.991
231,365.181,356.845,-1.271,-0.706,-1.448,1.542
232,485.38,201.872,1.491,0.21,-2.589,0.282
233,400.02,242.566,-0.576,-1.882,-1.781,0.822
234,340.205,338.014,0.306,-0.684,-1.207,1.946
235,402.14,328.868,1.136,0.765,-1.623,1.552
236,817.683,424.06,0.419,-0.372,-2.27,2.964
237,365.326,344.108,-0.324,0.303,2.282,-0.865
238,290.544,282.034,-1.125,0.069,-0.509,2.757
