,Invariant Mass
0,255.80604728051426
1,177.84983597468508
2,249.1587034460902
3,638.564669141844
4,176.75969574982923
5,264.00373667252234
6,188.55978608989946
7,214.99199793047828
8,395.0160888547412
9,198.07948271692575
10,269.85907155454146
11,666.4024387370913
12,193.1379344070624
13,247.5933304669578
14,263.3870766299981
15,235.83766279182692
16,212.3197899413392
17,179.77120980855148
18,283.04626481151246
19,324.68734947818416
20,199.05983483927218
21,238.39258958525704
22,206.65014029698457
23,182.3378550711157
24,196.8915884421669
25,389.80166014983837
26,223.83124790306567
27,221.38021658732652
28,205.02861083850848
29,196.96085072411714
30,223.41269124558386
31,181.7127778756689
32,199.2522424609767
33,269.9347998461247
34,291.82472849088555
35,195.90223504214657
36,193.9636571488713
37,206.3387948428883
38,357.9551014041944
39,249.6704057674779
40,181.90489255167745
41,264.1440190971495
42,212.22509160007638
43,171.62732491008592
44,207.93760527263058
45,183.1169261875367
46,265.57806854412
47,363.84014858524563
48,486.4143293021885
49,171.41053523046304
50,201.5345239665909
51,207.13591551729743
52,369.9139827909726
53,212.98231363461935
54,177.2436736591883
55,177.33761451703893
56,219.06685102680044
57,334.9825958377617
58,204.44148014855529
59,218.15615850485997
60,232.0681604095692
61,231.48710924623015
62,186.80536972414964
63,273.15883784632615
64,250.0893840262215
65,175.54013961025785
66,193.75157408313365
67,271.32670456462756
68,229.08595291094034
69,176.38570924374778
70,216.48708687830228
71,263.6335304763966
72,204.16230203375653
73,266.6064555104778
74,208.216226861445
75,183.7792141473683
76,509.1874875886491
77,192.58421585739325
78,299.3499894751125
79,174.19411430416153
80,241.0448852296474
81,860.8568398993413
82,199.01363834885885
83,363.5069114088164
84,230.40566116222323
85,199.4346732057469
86,280.8769560572315
87,233.63369035948097
88,208.00674036746526
89,217.28550944627244
90,209.3039319977585
91,235.59352710412034
92,201.42671086181758
93,246.69163766901318
94,206.34279832649838
95,207.08005178402007
96,222.27757800515926
97,185.35854109870417
98,177.49796961028287
99,462.47980643370863
100,240.98005437341638
101,182.11645165807352
102,304.87782330683154
103,188.8903197549822
104,199.7916720254262
105,244.80145441580854
106,205.23761073374973
107,219.68184937242427
108,194.83342213673697
109,399.8133827378805
110,206.51718411559693
111,177.37673851786292
112,203.37881160362755
113,177.37336532661058
114,303.3422022123433
115,214.4274124765701
116,178.83160707290403
117,390.5479487325246
118,294.1813957035124
119,201.51041412181465
120,196.45663638739936
121,654.4876590542034
122,202.05734799103004
123,185.39059196178684
124,199.95817903354745
125,184.03884931932834
126,229.7520463224765
127,199.00384252902603
128,207.6877697144729
129,260.4814614813136
130,79.50036070324049
131,302.465268924639
132,320.32170866921894
133,220.13343222096276
134,191.90695725136237
135,198.92745246072025
136,183.67854917854584
137,180.49231955713813
138,250.16464178129002
139,228.7514867608545
140,193.9332617290398
141,188.24670289836365
142,225.30488438622655
143,200.9379490993303
144,214.36328557713088
145,197.67658783768542
146,183.08269459882814
147,185.913394175554
148,209.74695485774592
149,232.9189195400517
150,271.4751530031924
151,365.24957587913707
152,207.84594651520763
153,183.77599519831168
154,883.5408102230547
155,175.20083272486133
156,181.89968328796695
157,206.21373665628383
158,399.52803536905964
159,259.3301097175989
