,Invariant Mass
0,748.752636010539
1,754.0391554577391
2,770.3688444207835
3,756.5389040214307
4,779.4178636860539
5,686.191312607829
6,743.4686445941489
7,752.000815271422
8,749.8303770716536
9,740.2029831317434
10,748.9768172578155
11,737.2840783119424
12,727.7840611519646
13,754.8770644904342
14,754.3077794797226
15,744.7558447531437
16,726.791416887644
17,754.3014856055152
18,768.510618868321
19,750.6597411930787
20,722.359454948693
21,754.1455830465466
22,707.0880300041334
23,740.2610563722995
24,748.558832149632
25,767.7019736199458
26,736.1980034728667
27,756.5670062759293
28,743.4349421749711
29,738.0949116014085
30,358.5792536700811
31,749.0962984698982
32,741.6405747179847
33,764.6872102548848
34,742.8939606501842
35,745.2195413821845
36,724.6227197896201
37,750.3985568559547
38,755.5742487945494
39,751.0767969771517
40,750.4239746279738
41,599.4372533004803
42,753.5134026091907
43,708.4199486912169
44,721.3955395172677
45,725.8633110843725
46,758.0304155308717
47,760.7918041923251
48,758.4028132085974
49,750.6725497493908
50,735.3083344877584
51,759.8499216819673
52,753.7628500737225
53,724.9861303706808
54,713.3011224298691
55,753.7902591448529
56,755.0402426845604
57,703.7301182022834
58,739.7499626327489
59,743.6712237010223
60,748.442832566757
61,743.9632777366692
62,763.3531136491735
63,752.1651918554691
64,782.5565376690198
65,770.3627768202539
66,713.6951569606199
67,736.0713335043586
68,738.2806629793143
69,794.7557498304269
70,746.0925699860468
71,756.1554748410127
72,747.2143107598215
73,738.0807342371781
74,759.7796286721475
75,751.8227150462709
76,731.9829875736915
77,749.5318992813645
78,745.5193668575761
79,755.7775450043365
80,738.8769694720528
81,832.53704083775
82,746.7361577672993
83,755.4438380669613
84,752.9129752750084
85,750.2507667547712
86,750.6235421142261
87,735.5847885098755
88,760.0292467079195
89,712.8480279408966
90,747.5038657953204
91,750.6964190723236
92,750.9490449522436
93,431.7037943008741
94,753.4304286554177
95,743.8864286962018
96,744.9163703281138
97,752.5058078891258
98,752.6847847760038
99,756.3909358695958
100,777.1653431478303
101,749.3956128311013
102,709.2726095580955
103,747.3175368354274
104,725.6454607690829
105,726.7965799449428
106,757.3072882895019
107,742.7439800053269
108,746.436522284955
109,741.8290345936017
110,709.9178010068155
111,751.5080994485518
112,746.7799798691262
113,746.6497537003579
114,748.445789694031
115,767.5798841338799
116,754.3985695001747
117,749.3603646909999
118,746.8913020231502
119,755.7977334218012
120,780.4271923711623
121,774.7510431926939
122,816.0236775744232
123,736.5549055911534
124,751.5268832850618
125,765.1862685908234
126,747.9247313945166
127,743.1273716985312
128,744.4705065054918
129,752.1999127247625
130,753.4623629846337
131,752.1904994444224
132,725.186378544092
133,800.3947552525376
134,686.515749014538
135,740.680611350006
136,740.7489074688489
137,755.9453886305553
138,738.5373395099854
139,746.4522354735598
140,737.222659650488
141,753.6406228502169
142,750.3878042220424
143,753.7434853037258
144,743.4675914235389
145,754.141041039208
146,743.6915521167865
147,745.4118311476198
148,668.9429401756809
149,748.6877532719592
150,744.8873689287503
151,745.3518449435531
152,780.8789007590026
153,738.3527306266789
154,742.6291242044525
155,737.9429509970615
156,726.5026247823964
157,752.2590983222372
158,747.5249144319029
159,745.7839129824974
160,755.1569429495639
161,724.9468848423909
162,764.3310119255993
163,744.856779750146
164,742.9413275724984
165,739.787268941493
166,818.5133463237956
167,742.6922858026255
168,754.6520997962723
169,749.4178188715175
170,751.8411470120757
171,744.6856234765419
172,1085.5169136221882
173,757.6676307057106
174,718.488464823214
175,752.7165946899751
176,711.059483508586
177,738.3168712921537
178,708.2953061546598
179,734.2970760561193
180,713.382700916963
181,743.0904587027079
182,760.0883297607389
183,953.2175532662005
184,742.812891224403
185,748.1610719971063
186,743.9048541175528
187,746.0335228172332
188,758.5619538064443
189,731.3744049661441
190,768.3403832063182
191,746.1411876042544
192,763.3478247454341
193,752.6660212497202
194,752.6095598834597
195,735.1154109943174
196,756.2880151411342
197,759.3106938392583
198,742.3415740650847
199,745.9029525124048
200,691.396470156224
201,761.7783595557057
202,729.4440617439113
203,746.9730233149071
204,746.8775658745844
205,743.4313075853127
206,779.861757643654
207,746.8635619549626
208,739.9190443306127
209,770.9247473593032
210,744.2971821930954
211,819.9562270528374
212,857.4613160088389
213,743.7648078941063
214,747.0442045108291
215,670.7564248203607
216,702.4149007930504
217,746.0851560116165
218,746.7616217404322
219,739.682563667424
220,753.3180812362751
221,748.7147284558777
222,747.0764114385449
223,748.7155378938646
224,748.3291777059842
225,748.9831669405017
226,732.9629271191199
227,750.6741956922315
228,747.9603116565698
229,746.168892747331
230,755.2815702090081
231,748.986507943725
232,754.2033028878159
233,742.3303471552408
234,763.0060359264903
235,739.7764755810648
236,759.239392454278
237,744.247289310402
238,676.6706302436193
239,749.1420481204755
240,523.7042110754091
241,757.9838125530774
242,761.8462747692478
243,746.0760583218198
244,756.5316898941527
245,747.234378535773
246,752.8707950606547
247,727.1887941900354
248,749.6159277112841
249,402.8909024616504
250,752.9902382213621
251,746.0828412926021
252,500.8550787521051
253,745.6812794977085
254,799.3068570126222
255,759.6868239449916
256,771.5528241582634
257,756.5320731478371
258,617.1040150106751
259,764.2565367810428
260,750.5480356670004
261,740.3493145436986
262,754.7658591570548
263,758.5631587511417
264,753.3498421637171
265,758.812091016432
266,751.8533794856803
267,759.7668351763242
268,746.5197791119803
269,765.282797620484
270,740.3570938425576
271,778.2731658480825
272,757.809326074846
273,768.458741783988
274,742.6585075987176
275,756.4994009174316
276,736.4353660804945
277,746.0241722689902
278,761.1880708261601
279,746.7288195335484
280,753.672480016098
281,746.8355757140174
282,733.6565480238735
283,760.6430809325308
284,778.3146225358327
285,803.1272257273881
286,759.6885243618519
287,772.6993211884318
288,746.8749732671992
289,738.5608859888077
290,759.4251441146913
291,709.6674475141347
292,695.4085168972612
293,741.7051965839462
294,731.3975759959612
295,700.0670866723116
296,759.4865858820236
297,750.8234048285879
298,746.0752911929051
299,754.4355157872881
300,797.6868392687711
301,750.9217041966201
302,737.4589200564855
303,768.4901824858684
304,746.3473421318948
305,742.4739431441908
306,751.7887893749203
307,747.3779834625959
308,747.5178825135487
309,722.4059414738172
310,766.190975828245
311,730.8923448636003
312,735.595136899637
313,749.0700464925939
314,748.649317744958
315,807.6351057061372
316,746.4533735099471
317,742.1538201531695
318,748.5361459378151
319,746.9566333769446
320,703.1773477891352
321,751.9017039557777
322,740.4498792428444
323,733.323961596105
324,751.8390478356126
325,749.6998077086155
326,754.0670890862342
327,746.7175190142501
328,748.4153632395588
329,738.1850022850435
330,847.7062205713532
331,745.8933752390562
332,742.9889700013447
333,752.729314965316
334,727.8505892707973
335,751.5790086718533
336,775.7741400711828
337,740.1990820528379
338,752.1140852005988
339,776.1396100146336
340,773.9908283861238
341,745.7912426544289
342,736.8311851079836
343,825.5088161110607
344,749.6314857477319
345,745.1116477486823
346,719.8427144332468
347,747.0388022800831
348,711.2693988472183
349,699.9297356646634
350,749.4084153884982
351,736.2762938944658
352,761.8775229792634
353,751.3808957859219
354,736.2433151536402
355,712.1209306921502
356,759.6125165096009
357,750.9526385381637
358,733.0708988444144
359,746.4437020193901
360,737.0117784657497
361,824.4370246045756
362,704.7033754533664
363,736.8276482302526
364,632.8151845841138
365,761.8168163786715
366,741.5930074891386
367,758.3717362346746
368,756.4479650149227
369,746.7087810552341
370,752.6781912174008
371,788.3989539417463
372,755.3031947326783
373,760.4557863328689
374,746.0351805085859
375,705.4129391401825
376,760.2561577325058
377,737.514372846879
378,736.1373130537607
379,743.4837195357027
380,745.4811349788636
381,743.0191181166782
382,732.4665605752926
383,787.4046547205829
384,746.1125685701863
385,762.5774851491618
386,741.1974859337048
387,751.5531710450197
388,769.5724396711851
389,759.8691692202742
390,761.3215487205124
391,752.463750406727
392,746.2844403506905
393,725.3206777140613
394,755.1154297370566
395,747.1399678185493
396,749.9574885414474
397,770.16380726392
398,749.403095859331
399,747.6160191982265
400,751.4702046597343
401,750.177841417816
402,756.3803540655048
403,748.7150862651802
404,761.2751691066518
405,749.42239602546
406,349.04054024388
407,746.4947306191863
408,737.5922006148047
409,748.3048459611341
410,750.9278565602051
411,748.6667486578483
412,751.0313993375235
413,755.7900463857362
414,754.0306391970761
415,743.8202064479636
416,745.3632948841636
417,771.2638459916674
418,849.0109860454462
419,746.0183702285093
420,783.4591563769604
421,758.2217165660705
422,750.4761561342054
423,745.0455242603173
424,759.5125660979218
425,754.1147000014746
426,752.8944896942135
427,756.4029629570339
428,732.129432594313
429,819.5497592410024
430,743.2434729429552
431,747.7348187909573
432,739.5548361705982
433,696.071858721631
434,754.3369098003216
435,741.210200430807
436,758.91389199996
437,747.0156703008853
438,759.9347910217333
439,750.2232352357954
440,760.981814216864
441,755.5835138483243
442,749.6545395887864
443,698.7524519585476
444,754.4359526221599
445,675.0296445435897
446,841.349890219057
447,766.1030799287735
448,450.8686990440259
449,753.6283700425757
450,763.3838410785356
451,767.6027457876941
452,746.1982831191036
453,752.0427288393252
454,752.4053759189898
455,735.9482385915732
456,1082.4218753355958
457,743.9959182354532
458,748.3219474004549
459,763.6365386142438
460,657.0772890903778
461,706.5573809287899
462,634.8370835059111
